"Code","ActiveIngredients","Size","Price"
"A154","Aciclovir 40<U+202F>mg per 1<U+202F>ml","125",NA
"A155","Aciclovir 40<U+202F>mg per 1<U+202F>ml","125",NA
"A156","Aciclovir 40<U+202F>mg per 1<U+202F>ml","125",NA
"A157","Aciclovir 40<U+202F>mg per 1<U+202F>ml","125",NA
"A158","Aciclovir 40<U+202F>mg per 1<U+202F>ml","125",NA
"A159","Aciclovir 40<U+202F>mg per 1<U+202F>ml","125",NA
"A160","Aciclovir 40<U+202F>mg per 1<U+202F>ml","125",NA
"A161","Aciclovir 80<U+202F>mg per 1<U+202F>ml","100",NA
"A162","Aciclovir 80<U+202F>mg per 1<U+202F>ml","100",NA
"A163","Aciclovir 80<U+202F>mg per 1<U+202F>ml","100",NA
"A164","Aciclovir 80<U+202F>mg per 1<U+202F>ml","100",NA
"A165","Aciclovir 80<U+202F>mg per 1<U+202F>ml","100",NA
"A166","Aciclovir 80<U+202F>mg per 1<U+202F>ml","100",NA
"A167","Aciclovir 80<U+202F>mg per 1<U+202F>ml","100",NA
"A168","Aciclovir 80<U+202F>mg per 1<U+202F>ml","100",NA
"A169","Aciclovir (as Aciclovir sodium) 25<U+202F>mg per 1<U+202F>ml","1",NA
"A170","Aciclovir (as Aciclovir sodium) 25<U+202F>mg per 1<U+202F>ml","5",NA
"A171","Aciclovir (as Aciclovir sodium) 25<U+202F>mg per 1<U+202F>ml","5",NA
"A172","Aciclovir (as Aciclovir sodium) 25<U+202F>mg per 1<U+202F>ml","5",NA
"A173","Aciclovir (as Aciclovir sodium) 25<U+202F>mg per 1<U+202F>ml","5",NA
"A174","Aciclovir (as Aciclovir sodium) 25<U+202F>mg per 1<U+202F>ml","5",NA
"A175","Aciclovir (as Aciclovir sodium) 25<U+202F>mg per 1<U+202F>ml","5",NA
"A176","Aciclovir (as Aciclovir sodium) 250<U+202F>mg","5",NA
"A177","Aciclovir (as Aciclovir sodium) 250<U+202F>mg","10",NA
"A178","Aciclovir (as Aciclovir sodium) 250<U+202F>mg","5",NA
"A179","Aciclovir (as Aciclovir sodium) 250<U+202F>mg","5",NA
"A180","Aciclovir (as Aciclovir sodium) 500<U+202F>mg","10",NA
"A181","Aciclovir (as Aciclovir sodium) 500<U+202F>mg","5",NA
"A182","Aciclovir 30<U+202F>mg per 1<U+202F>gram","4.5",NA
"A183","Aciclovir 50<U+202F>mg per 1<U+202F>gram","2",NA
"A184","Aciclovir 50<U+202F>mg per 1<U+202F>gram","10",NA
"A185","Aciclovir 50<U+202F>mg per 1<U+202F>gram","2",NA
"A186","Aciclovir 50<U+202F>mg per 1<U+202F>gram","10",NA
"A187","Aciclovir 50<U+202F>mg per 1<U+202F>gram","2",NA
"A188","Aciclovir 50<U+202F>mg per 1<U+202F>gram","10",NA
"A189","Aciclovir 50<U+202F>mg per 1<U+202F>gram","2",NA
"A190","Aciclovir 50<U+202F>mg per 1<U+202F>gram","2",NA
"A191","Aciclovir 50<U+202F>mg per 1<U+202F>gram","10",NA
"A192","Aciclovir 50<U+202F>mg per 1<U+202F>gram","2",NA
"A193","Aciclovir 50<U+202F>mg per 1<U+202F>gram","10",NA
"A194","Aciclovir 50<U+202F>mg per 1<U+202F>gram","2",NA
"A195","Aciclovir 50<U+202F>mg per 1<U+202F>gram","2",NA
"A196","Aciclovir 50<U+202F>mg per 1<U+202F>gram","2",NA
"A197","Aciclovir 50<U+202F>mg per 1<U+202F>gram","2",NA
"A198","Aciclovir 200<U+202F>mg","2",NA
"A199","Aciclovir 200<U+202F>mg","2",NA
"A200","Aciclovir 200<U+202F>mg","2",NA
"A201","Aciclovir 200<U+202F>mg","10",NA
"A202","Aciclovir 200<U+202F>mg","2",NA
"A203","Aciclovir 200<U+202F>mg","2",NA
"A204","Acipimox 250<U+202F>mg","90",NA
"A205","Acitretin 10<U+202F>mg","60",NA
"A206","Acitretin 10<U+202F>mg","60",NA
"A207","Acitretin 10<U+202F>mg","60",NA
"A208","Acitretin 10<U+202F>mg","60",NA
"A209","Acitretin 10<U+202F>mg","60",NA
"A210","Acitretin 10<U+202F>mg","60",NA
"A211","Acitretin 25<U+202F>mg","60",NA
"A212","Acitretin 25<U+202F>mg","60",NA
"A213","Acitretin 25<U+202F>mg","60",NA
"A214","Acitretin 25<U+202F>mg","60",NA
"A215","Acitretin 25<U+202F>mg","60",NA
"A216","Acitretin 25<U+202F>mg","60",NA
"A217","Acitretin 25<U+202F>mg","60",NA
"A218","Aclidinium bromide 375<U+202F>microgram per 1<U+202F>dose","60",NA
"A219","Aclidinium bromide 396<U+202F>microgram per 1<U+202F>dose","60",NA
"A220","Formoterol fumarate dihydrate 11.8<U+202F>microgram per 1<U+202F>dose","60",NA
"A221","Acrivastine 8<U+202F>mg","12",NA
"A222","Acrivastine 8<U+202F>mg","24",NA
"A223","Acrivastine 8<U+202F>mg","48",NA
"A224","Adalimumab 50<U+202F>mg per 1<U+202F>ml","1",NA
"A225","Adalimumab 50<U+202F>mg per 1<U+202F>ml","2",NA
"A226","Adalimumab 50<U+202F>mg per 1<U+202F>ml","2",NA
"A227","Adalimumab 50<U+202F>mg per 1<U+202F>ml","2",NA
"A228","Adalimumab 50<U+202F>mg per 1<U+202F>ml","2",NA
"A229","Adalimumab 50<U+202F>mg per 1<U+202F>ml","2",NA
"A230","Adalimumab 50<U+202F>mg per 1<U+202F>ml","2",NA
"A231","Adalimumab 50<U+202F>mg per 1<U+202F>ml","2",NA
"A232","Adalimumab 100<U+202F>mg per 1<U+202F>ml","2",NA
"A233","Adalimumab 100<U+202F>mg per 1<U+202F>ml","2",NA
"A234","Adalimumab 100<U+202F>mg per 1<U+202F>ml","2",NA
"A235","Adalimumab 100<U+202F>mg per 1<U+202F>ml","1",NA
"A236","Adalimumab 100<U+202F>mg per 1<U+202F>ml","1",NA
"A237","Adapalene 1<U+202F>mg per 1<U+202F>gram","45",NA
"A238","Adapalene 1<U+202F>mg per 1<U+202F>gram","45",NA
"A239","Adapalene 1<U+202F>mg per 1<U+202F>gram","45",NA
"A240","Benzoyl peroxide 25<U+202F>mg per 1<U+202F>gram","45",NA
"A241","Benzoyl peroxide 25<U+202F>mg per 1<U+202F>gram","45",NA
"A242","Adapalene 3<U+202F>mg per 1<U+202F>gram","45",NA
"A243","Adefovir dipivoxil 10<U+202F>mg","30",NA
"A244","Adenosine 3<U+202F>mg per 1<U+202F>ml","6",NA
"A245","Adenosine 3<U+202F>mg per 1<U+202F>ml","10",NA
"A246","Adenosine 3<U+202F>mg per 1<U+202F>ml","10",NA
"A247","Adenosine 3<U+202F>mg per 1<U+202F>ml","6",NA
"A248","Adenosine 3<U+202F>mg per 1<U+202F>ml","6",NA
"A249","Adenosine 3<U+202F>mg per 1<U+202F>ml","5",NA
"A250","Adenosine 3<U+202F>mg per 1<U+202F>ml","6",NA
"A251","Adenosine 3<U+202F>mg per 1<U+202F>ml","6",NA
"A252","Adenosine 3<U+202F>mg per 1<U+202F>ml","6",NA
"A253","Adenosine 3<U+202F>mg per 1<U+202F>ml","6",NA
"A254","Adenosine 3<U+202F>mg per 1<U+202F>ml","5",NA
"A255","Adenosine 3<U+202F>mg per 1<U+202F>ml","6",NA
"A256","Articaine hydrochloride 40<U+202F>mg per 1<U+202F>ml","50",NA
"A257","Adrenaline (as Adrenaline acid tartrate) 5<U+202F>microgram per 1<U+202F>ml","50",NA
"A258","Adrenaline (as Adrenaline acid tartrate) 10<U+202F>microgram per 1<U+202F>ml","50",NA
"A259","Articaine hydrochloride 40<U+202F>mg per 1<U+202F>ml","50",NA
"A260","Adrenaline 100<U+202F>microgram per 1<U+202F>ml","10",NA
"A261","Adrenaline 100<U+202F>microgram per 1<U+202F>ml","10",NA
"A262","Adrenaline (as Adrenaline acid tartrate) 100<U+202F>microgram per 1<U+202F>ml","10",NA
"A263","Adrenaline (as Adrenaline acid tartrate) 100<U+202F>microgram per 1<U+202F>ml","10",NA
"A264","Adrenaline 100<U+202F>microgram per 1<U+202F>ml","1",NA
"A265","Adrenaline 100<U+202F>microgram per 1<U+202F>ml","1",NA
"A266","Adrenaline 100<U+202F>microgram per 1<U+202F>ml","10",NA
"A267","Adrenaline 100<U+202F>microgram per 1<U+202F>ml","1",NA
"A268","Adrenaline (as Adrenaline acid tartrate) 100<U+202F>microgram per 1<U+202F>ml","1",NA
"A269","Adrenaline (as Adrenaline acid tartrate) 100<U+202F>microgram per 1<U+202F>ml","10",NA
"A270","Adrenaline 500<U+202F>microgram per 1<U+202F>ml","10",NA
"A271","Adrenaline 1<U+202F>mg per 1<U+202F>ml","1",NA
"A272","Adrenaline 1<U+202F>mg per 1<U+202F>ml","2",NA
"A273","Adrenaline (as Adrenaline acid tartrate) 1<U+202F>mg per 1<U+202F>ml","10",NA
"A274","Adrenaline (as Adrenaline acid tartrate) 1<U+202F>mg per 1<U+202F>ml","10",NA
"A275","Adrenaline (as Adrenaline acid tartrate) 1<U+202F>mg per 1<U+202F>ml","10",NA
"A276","Adrenaline (as Adrenaline acid tartrate) 1<U+202F>mg per 1<U+202F>ml","10",NA
"A277","Adrenaline (as Adrenaline acid tartrate) 1<U+202F>mg per 1<U+202F>ml","10",NA
"A278","Adrenaline 1<U+202F>mg per 1<U+202F>ml","10",NA
"A279","Adrenaline 1<U+202F>mg per 1<U+202F>ml","10",NA
"A280","Adrenaline (as Adrenaline acid tartrate) 1<U+202F>mg per 1<U+202F>ml","1",NA
"A281","Adrenaline (as Adrenaline acid tartrate) 1<U+202F>mg per 1<U+202F>ml","1",NA
"A282","Adrenaline (as Adrenaline acid tartrate) 1<U+202F>mg per 1<U+202F>ml","10",NA
"A283","Adrenaline (as Adrenaline acid tartrate) 1<U+202F>mg per 1<U+202F>ml","10",NA
"A284","Adrenaline (as Adrenaline acid tartrate) 1<U+202F>mg per 1<U+202F>ml","10",NA
"A285","Adrenaline 1<U+202F>mg per 1<U+202F>ml","10",NA
"A286","Adrenaline (as Adrenaline acid tartrate) 1<U+202F>mg per 1<U+202F>ml","10",NA
"A287","Adrenaline 1<U+202F>mg per 1<U+202F>ml","1",NA
"A288","Adrenaline (as Adrenaline acid tartrate) 1<U+202F>mg per 1<U+202F>ml","1",NA
"A289","Adrenaline 1<U+202F>mg per 1<U+202F>ml","1",NA
"A290","Adrenaline (as Adrenaline acid tartrate) 1<U+202F>mg per 1<U+202F>ml","1",NA
"A291","Adrenaline 1<U+202F>mg per 1<U+202F>ml","1",NA
"A292","Adrenaline 100<U+202F>microgram per 1<U+202F>ml","2",NA
"A293","Adrenaline 100<U+202F>microgram per 1<U+202F>ml","1",NA
"A294","Adrenaline (as Adrenaline acid tartrate) 100<U+202F>microgram per 1<U+202F>ml","1",NA
"A295","Afatinib (as Afatinib dimaleate) 20<U+202F>mg","28",NA
"A296","Afatinib (as Afatinib dimaleate) 30<U+202F>mg","28",NA
"A297","Afatinib (as Afatinib dimaleate) 40<U+202F>mg","28",NA
"A298","Afatinib (as Afatinib dimaleate) 50<U+202F>mg","28",NA
"A299","Aflibercept 40<U+202F>mg per 1<U+202F>ml","1",NA
"A300","Aflibercept 25<U+202F>mg per 1<U+202F>ml","1",NA
"A301","Aflibercept 25<U+202F>mg per 1<U+202F>ml","1",NA
"A302","Agalsidase alfa 1<U+202F>mg per 1<U+202F>ml","1",NA
"A303","Agalsidase beta 5<U+202F>mg","1",NA
"A304","Agalsidase beta 35<U+202F>mg","1",NA
"A305","Agomelatine 25<U+202F>mg","28",NA
"A306","Agomelatine 25<U+202F>mg","28",NA
"A307","Agomelatine 25<U+202F>mg","28",NA
"A308","Agomelatine 25<U+202F>mg","28",NA
"A309","Agomelatine 25<U+202F>mg","28",NA
"A310","Agomelatine 25<U+202F>mg","28",NA
"A311","Agomelatine 25<U+202F>mg","28",NA
"A312","Agomelatine 25<U+202F>mg","28",NA
"A313","Albendazole 400<U+202F>mg","60",NA
"A314","Albendazole 200<U+202F>mg","6",NA
"A315","Albendazole 400<U+202F>mg","1",NA
"A316","Albendazole 400<U+202F>mg","3",NA
"A317","Albumin solution human 200<U+202F>gram per 1<U+202F>litre","1",NA
"A318","Albumin solution human 200<U+202F>gram per 1<U+202F>litre","12",NA
"A319","Albumin solution human 45<U+202F>mg per 1<U+202F>ml","1",NA
"A320","Albumin solution human 45<U+202F>mg per 1<U+202F>ml","24",NA
"A321","Albumin solution human 50<U+202F>mg per 1<U+202F>ml","1",NA
"A322","Albumin solution human 50<U+202F>mg per 1<U+202F>ml","1",NA
"A323","Albumin solution human 50<U+202F>mg per 1<U+202F>ml","1",NA
"A324","Albumin solution human 50<U+202F>mg per 1<U+202F>ml","1",NA
"A325","Albumin solution human 50<U+202F>mg per 1<U+202F>ml","1",NA
"A326","Albumin solution human 50<U+202F>mg per 1<U+202F>ml","1",NA
"A327","Albumin solution human 50<U+202F>mg per 1<U+202F>ml","1",NA
"A328","Albumin solution human 50<U+202F>mg per 1<U+202F>ml","1",NA
"A329","Albumin solution human 50<U+202F>mg per 1<U+202F>ml","1",NA
"A330","Albumin solution human 200<U+202F>mg per 1<U+202F>ml","1",NA
"A331","Albumin solution human 200<U+202F>mg per 1<U+202F>ml","1",NA
"A332","Albumin solution human 200<U+202F>mg per 1<U+202F>ml","1",NA
"A333","Albumin solution human 200<U+202F>mg per 1<U+202F>ml","1",NA
"A334","Albumin solution human 200<U+202F>mg per 1<U+202F>ml","1",NA
"A335","Albumin solution human 200<U+202F>mg per 1<U+202F>ml","1",NA
"A336","Albumin solution human 200<U+202F>mg per 1<U+202F>ml","1",NA
"A337","Albumin solution human 200<U+202F>mg per 1<U+202F>ml","1",NA
"A338","Albumin solution human 200<U+202F>mg per 1<U+202F>ml","1",NA
"A339","Albumin solution human 200<U+202F>mg per 1<U+202F>ml","1",NA
"A340","Albumin solution human 200<U+202F>mg per 1<U+202F>ml","1",NA
"A341","Albumin solution human 200<U+202F>mg per 1<U+202F>ml","1",NA
"A342","Albumin solution human 200<U+202F>gram per 1<U+202F>litre","1",NA
"A343","Albumin solution human 200<U+202F>gram per 1<U+202F>litre","1",NA
"A344","Alclometasone dipropionate 500<U+202F>microgram per 1<U+202F>gram","15",NA
"A345","Aldesleukin 18<U+202F>mega unit","1",NA
"A346","Aldesleukin 18<U+202F>mega unit","10",NA
"A347","Alectinib (as Alectinib hydrochloride) 150<U+202F>mg","224",NA
"A348","Alemtuzumab 10<U+202F>mg per 1<U+202F>ml","1",NA
"A349","Alemtuzumab 30<U+202F>mg per 1<U+202F>ml","3",NA
"A350","Alendronic acid (as Alendronate sodium) 10<U+202F>mg","28",NA
"A351","Alendronic acid (as Alendronate sodium) 10<U+202F>mg","28",NA
"A352","Alendronic acid (as Alendronate sodium) 10<U+202F>mg","28",NA
"A353","Alendronic acid (as Alendronate sodium) 10<U+202F>mg","28",NA
"A354","Alendronic acid (as Alendronate sodium) 10<U+202F>mg","28",NA
"A355","Alendronic acid (as Alendronate sodium) 10<U+202F>mg","28",NA
"A356","Alendronic acid (as Alendronate sodium) 10<U+202F>mg","28",NA
"A357","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A358","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A359","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A360","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A361","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A362","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A363","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A364","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A365","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A366","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A367","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A368","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A369","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A370","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A371","Alendronic acid 700<U+202F>microgram per 1<U+202F>ml","4",NA
"A372","Alendronic acid 700<U+202F>microgram per 1<U+202F>ml","4",NA
"A373","Alendronic acid 700<U+202F>microgram per 1<U+202F>ml","4",NA
"A374","Alendronic acid 700<U+202F>microgram per 1<U+202F>ml","4",NA
"A375","Alendronic acid 700<U+202F>microgram per 1<U+202F>ml","4",NA
"A376","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A377","Colecalciferol 70<U+202F>microgram","4",NA
"A378","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A379","Colecalciferol 70<U+202F>microgram","4",NA
"A380","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A381","Colecalciferol 70<U+202F>microgram","4",NA
"A382","Alendronic acid (as Alendronate sodium) 70<U+202F>mg","4",NA
"A383","Colecalciferol 140<U+202F>microgram","4",NA
"A384","Alfacalcidol 250<U+202F>nanogram","30",NA
"A385","Alfacalcidol 250<U+202F>nanogram","30",NA
"A386","Alfacalcidol 250<U+202F>nanogram","30",NA
"A387","Alfacalcidol 250<U+202F>nanogram","30",NA
"A388","Alfacalcidol 250<U+202F>nanogram","30",NA
"A389","Alfacalcidol 250<U+202F>nanogram","30",NA
"A390","Alfacalcidol 250<U+202F>nanogram","30",NA
"A391","Alfacalcidol 250<U+202F>nanogram","30",NA
"A392","Alfacalcidol 500<U+202F>nanogram","30",NA
"A393","Alfacalcidol 500<U+202F>nanogram","30",NA
"A394","Alfacalcidol 500<U+202F>nanogram","30",NA
"A395","Alfacalcidol 500<U+202F>nanogram","30",NA
"A396","Alfacalcidol 500<U+202F>nanogram","30",NA
"A397","Alfacalcidol 500<U+202F>nanogram","30",NA
"A398","Alfacalcidol 500<U+202F>nanogram","30",NA
"A399","Alfacalcidol 1<U+202F>microgram","30",NA
"A400","Alfacalcidol 1<U+202F>microgram","30",NA
"A401","Alfacalcidol 1<U+202F>microgram","30",NA
"A402","Alfacalcidol 1<U+202F>microgram","30",NA
"A403","Alfacalcidol 1<U+202F>microgram","30",NA
"A404","Alfacalcidol 1<U+202F>microgram","30",NA
"A405","Alfacalcidol 1<U+202F>microgram","30",NA
"A406","Alfacalcidol 2<U+202F>microgram per 1<U+202F>ml","10",NA
"A407","Alfacalcidol 2<U+202F>microgram per 1<U+202F>ml","10",NA
"A408","Alfacalcidol 2<U+202F>microgram per 1<U+202F>ml","10",NA
"A409","Alfentanil (as Alfentanil hydrochloride) 500<U+202F>microgram per 1<U+202F>ml","10",NA
"A410","Alfentanil (as Alfentanil hydrochloride) 500<U+202F>microgram per 1<U+202F>ml","10",NA
"A411","Alfentanil (as Alfentanil hydrochloride) 500<U+202F>microgram per 1<U+202F>ml","1",NA
"A412","Alfentanil (as Alfentanil hydrochloride) 500<U+202F>microgram per 1<U+202F>ml","10",NA
"A413","Alfentanil (as Alfentanil hydrochloride) 500<U+202F>microgram per 1<U+202F>ml","10",NA
"A414","Alfentanil (as Alfentanil hydrochloride) 500<U+202F>microgram per 1<U+202F>ml","5",NA
"A415","Alfentanil (as Alfentanil hydrochloride) 5<U+202F>mg per 1<U+202F>ml","10",NA
